H_tub_ID	HT16cellA	HT16cellB	HT16cellC	HT32cellA	HT32cellB	HT32cellC	HT4cellA	HT4cellB	HT4cellC	HTEGGA	HTEGGB	HTEGGC	HTGA	HTGB	HTGC	HTMBA	HTMBB	HTMBC	HTPRA	HTPRB	HTPRC
HTU_26194.t1.1.5f2ccbcb	18.50	17	5	17	17	4	4.50	5.50	8	1.50	0	0.50	8.50	5	9	48.50	22.50	16.50	4	6	5.50
HTU_25523.t1	46.27	47.17	32.50	54.33	37.00	48.83	27.50	40.00	37.17	23.83	11	13.00	15.17	6.50	13.33	28.50	35.83	15	14	17.33	10.17
HTU_26125.t1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0
HTU_24819.t1	98.79	24.33	19	130.00	22.67	26.17	7.50	17.50	10	6.33	7.67	3.50	829.33	974.96	907.04	832.21	898.75	541.75	1071.18	1046.75	1095.23
HTU_24819.t1.1.5f2ccbb6	101.79	25.33	20	133.00	22.67	26.17	7.50	18.50	9	6.33	7.67	3.50	864.33	1002.96	942.04	866.21	938.75	553.75	1103.18	1079.75	1123.23
HTU_25357.t1	150	163	137	143	134	151	50	86	104	122	100	82	269.00	263	429	458	517	297	297	327	334
HTU_26233.t1	5	7	1	2	9	1	5	2	0	1	0	0	86	24	78	35	21	12	32	44	25
HTU_26169.t1	0	0	0	0	0	0	0	0	0	0	0	0	3	0.50	0	0.20	0	0	0	0.33	0
HTU_25744.t1	8	19.50	10.83	9.50	13.48	20.50	3.67	7	16.43	1	0.50	2	161.47	308.62	205.82	220.98	375.10	200.17	137.58	153.31	164.57
HTU_26170.t1_HTU_26167.t1	15	9.50	11	12.50	11.50	8.50	6.50	3.50	7	5	2.50	4	28.50	22	25	43.20	29.50	10	106.50	156.17	137.50
HTU_25188.t1	578	478	400	651	446	478	136	220	380	62	58	74	450	436	618	605	676	380	892	1123	878
HTU_25228.t1	0	0	0	0	0	0.33	0	0	0	3	0	0	1	1	2	1	1.25	1.14	5.58	4.08	3.00
HTU_25299.t1	0	0	0	0	0	0	0.50	0	0	1	0	0	0.50	3	0	0	0	0	0	0	0
HTU_24969.t1	163	220.50	164.50	186.33	195	203.67	100	203.50	220	114	155.50	135.50	164.50	197.67	167.83	171.67	206.50	129.50	248.67	309	245.50
HTU_25015.t1	1	2	0	3	6	2	1	3	0	0	1	1	22	13	6	16	16	7	28	35	7
HTU_26435.t1	13	51	44	17	25	56	31	23	5	9	2	2	77	56	47	52	72	30	123	87	140
HTU_26066.t1	2184	2330	1694	2389.50	1797	2114	710	1389	1955	239	240	361	697.50	598	791	938	898	724	746	855.50	657
HTU_25522.t1	627.23	738.90	675.33	772.78	618.98	765.78	237.34	534.20	816.73	611.70	448.22	709.40	413.66	262.03	299.82	292.17	340.00	254.27	387.27	471.02	388.97
HTU_24591.t1	2.50	5.50	5	4.33	5.33	5	18	6.50	9.50	2.50	7.50	2.50	147.17	382.00	192.17	201.50	351.33	210.33	144.50	160.33	137.17
HTU_26371.t1	291	313	163	241	208	162	28	159	133	32	15.25	8	31	62	47	61	66	38	51	60	58
HTU_24886.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0
HTU_25769.t1	0	0	0	0	0	0.50	0	0	0	0	0	0	0	0	0	0	0	0	0.50	1	0
HTU_25804.t1	6	2	0	5	1	2	1	2	2	0	0	1	1	1	1	2	0	2	9	12	7
HTU_24435.t1	200.00	153.60	153.17	210.00	118.67	174.33	25.83	119.00	170.00	22.50	44.00	71.17	114.17	151.50	148.33	176.17	187.50	82.67	120.00	135.33	138.33
HTU_25672.t1	20	41	25	18	20	20	9	17	28	6	7	8	178.50	201	156	153	277.50	169	310	303	315
HTU_25421.t1	1.43	0.57	0.71	0.43	0.86	2.29	0.14	0.74	0.60	0.43	0.14	0.29	13.54	7.54	16.06	14.15	12.01	9.55	8.07	12.62	9.00
HTU_24834.t1	79	87	48	80.50	64.25	56	20.50	44	86	24.50	22	42	10.50	5	19	26	26	8	23	27.50	22.50
HTU_24834.t1.1.5f2ccbb7	90	110	56	98.50	77.25	66	21.50	51	102	28.50	28	52	10.50	5	23	36	26	9	28	29.50	24.50
HTU_25845.t1	811	961.00	845.50	882.50	731	1058	316.50	689.50	604.50	350.50	526.50	492	94.50	77	122.50	154	156.50	80.83	181.50	144.50	145.50
HTU_24403.t1	0	0	1	1.50	0	0	0	1	1	0	0	0	8	0	1	8	6	0.50	0	1	3
HTU_26428.t1	88	59	49	96	48	65	17	65	85	52	31	42	56	52	65	110	105	83	94	100	112
HTU_25413.t1	29.50	3	5	62	5	22.50	0	1	8	4	1	57.83	4	0	8.33	34.50	38	9.50	125.50	216.67	148.83
HTU_24401.t1	0	0	0	0.50	0	0	0	0	0	0	0	0	1	1	0	5	10	1.50	0	0	0
HTU_26290.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.22	0	0.22	0	1.22	0.33	0.11
HTU_25602.t1	0	1	5	2	3	8	1	5	3	1	1	1	14	2	2	0	0	7	151	165	177
HTU_26298.t1	160	152	110.50	126.50	126	112	19	67	84	15	11	12	18	19	25	31	61.11	21.33	26	15	22.50
HTU_25456.t1	260	229	314	318	245.00	427	81	234	261	172	213	186	1179	1365	1648	2267.00	3245.00	1611.00	1238.00	1373	1205.00
HTU_25491.t1	7879.83	8935.75	7397.83	9053.16	6998.83	9276.66	1324.58	6415.16	5970.41	2111.17	2090.75	2671.42	2006.17	3170.50	2656.17	2220.17	2633.92	2950.08	3070.92	3458.92	2946.75
HTU_25491.t1.1.5f2ccbbf	7886.83	8943.75	7400.83	9061.16	7010.83	9280.66	1325.58	6418.16	5971.41	2113.17	2091.75	2679.42	2013.17	3172.50	2663.17	2223.17	2639.92	2955.08	3072.92	3459.92	2949.75
HTU_24434.t1	75	67.50	31	81	60	59.25	36.50	61	59.50	60	36	39.50	35	26	24.50	28.50	18.50	11	23	15	31
HTU_24852.t1	0	1	2	2	2.50	0.50	1	1	44.50	0.50	0	14	1	1	8.50	1	2	8	3.50	2	6
HTU_25342.t1	336.00	402.00	562.38	355.83	348.67	635.70	262.00	604.27	506.67	141.00	281.00	242.17	67.83	139.43	121.17	125.61	188.67	130.50	60.33	86.00	74.00
HTU_25448.t1	208.50	218.25	202.42	214.83	167	253	77.50	246.33	286.50	227.50	319.77	332.50	360.17	489.75	627.83	486	472	354	989.50	1077	999.50
HTU_25258.t1	1	1	0	1.50	0	0	0	0	0	0	0	0	0	1	0	1	0.50	0	0	0	0
HTU_25297.t1	1	1	0	1.50	1	0	0	0	0	0	0	0	0.50	1	0	1	0.50	0	0	0	0
HTU_25678.t1	0	0	2	0	1	2	0	0	0	0	0	0	3	1	0	2	5	2	4	5	0
HTU_26337.t1	0	0	0	0.33	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0.33	0	0
HTU_25050.t1	327.50	302	370	377.83	272.50	497	193.50	189.50	187.33	59.50	54	57	59	82	115	196.50	200	96	137	157.50	111
HTU_25050.t1.1.5f2ccbda	247.50	233	279	289.50	190.50	373	101.50	140.50	137	38.50	43	43	39	57	77	153.50	156	70	98	110.50	79
HTU_25896.t1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	2	1	3	3	5
HTU_26019.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.25	0	0	1	1	0
HTU_24579.t1	1.50	3.25	0.75	1.75	1.25	3.25	0.50	0.50	2.50	0	0.25	0.25	0.75	1.25	1.50	5.25	15.75	3	1	1	1
HTU_24579.t2	1.50	0.75	0.75	1.25	1.25	2.75	0.50	0.50	1	0	0.25	0.25	0.25	0.25	1.50	4.25	8.75	2	0.50	0	0.50
HTU_24857.t1	190.75	225.42	173.50	189.90	169.50	211.33	40	165.62	175.50	306.58	273.75	259	185.92	197.38	304	195.92	188.75	123.08	309.45	358.21	410.28
HTU_24857.t2	224.75	256.42	209	219.90	202.50	255.67	57.50	198.62	197	370.08	328.75	316	202.42	219.38	340.50	223.42	198.25	132.08	350.45	416.21	459.78
HTU_24841.t1	1	9	1	0	10	0	0	0	0	0	0	0	1	1	0	4	147	3	2	5	7
HTU_26402.t1	1	0	0	0	0	0.50	1	0	1	0	0	0	3.20	7	3	3.25	8	1	0	2	0
HTU_25971.t1	38.83	43.50	41.67	35.17	27.83	46.67	13.33	53	20	8	16	4.50	16	43.67	10	15.50	18.50	8.50	23	18.50	17
HTU_25040.t1	10.67	15.00	13.33	13.67	12	18.83	2.50	10.17	18.33	2	1.67	3.33	7.83	50.17	27.83	20.67	15.83	18.00	12.83	22.00	15.00
HTU_25731.t1	3	1	0	1	0	1	1	0	1	0	0	0	27.67	3	6	13	29	4	16.50	23	26
HTU_26418.t1	152.33	222.50	114.50	153.67	242	138	30.33	101.67	16	19.50	11.50	8.50	37	45.50	26.50	48.33	91.50	26	57	48.50	65
HTU_24695.t1	0	0	0	0	0	0	0	0	0.33	0	0	0	1.33	1.33	0.33	0	0.33	1.50	0	0	0
HTU_24499.t1	10	6	17	9	8.50	8	1	2	1	2	0	2	18	37	39	48	115	36.50	23	29	20
HTU_25264.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_26241.t1	2176.67	2438.50	1586.42	2173.08	1857.70	2001.73	737.82	1248	1516.50	277.50	188.50	269.50	158	133.25	186.50	399.50	474	251	143.50	129.50	169
HTU_24614.t1	1	1	2	0	1	5	1	0	0	0	1	0	410	480	298	456	845	597.50	296	311	268
HTU_26145.t1	1.20	1	1.33	3	0	0.33	0	1	2	0	1	1	4	6	0	4	14	2	3	1	1
HTU_25628.t1	210	169	449	219	134	556	75	251	187	469	476	239	173	205	199	151	192	118	164	122	115
HTU_24668.t1	1	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	3	2	2
HTU_25643.t1	17.50	17.50	35.50	25.50	26.50	43	16	29.50	31.50	26.50	38.50	53	218	122.50	211	56	33.50	30	549	712	547.50
HTU_25643.t1.1.5f2ccbe1	20.50	19.50	37.50	28.50	26.50	43	16	31.50	32.50	29.50	38.50	55	180	101.50	159	44	27.50	26	413	558	420.50
HTU_26432.t1	0	0	1	0	0	0	0	0	1	0	0	0	59	0	2	6	1	5	5	15	21
HTU_25897.t1	0	0.50	1	0.83	0.17	1	0	1	0	0	0	1	18.82	8.45	19.38	26.02	24.07	8.75	61.32	62.71	70.14
HTU_24621.t1	214	145	165	248	129	194	89	269	232	49	81	69	5	5	13	11	8	10	38	36	29
HTU_24639.t1	1996	3017	2573	1768	2716	3038	2358	2928	2646	2004	2544	2463	729	930	1090	702	1059	665	718	891	714
HTU_24784.t1	1.33	7.50	2.92	1.25	4.83	2.75	12.83	0	0.83	20.17	0.50	1.17	36.33	6.67	4.67	19.08	97.00	48.25	3.75	14.25	23.92
HTU_24562.t1	4	11.50	5.33	1.50	9	11.83	1	2.50	0	0	0.50	0	169.50	64	204.17	0.50	2	79	0	0	0.50
HTU_26499.t1	111.17	43.08	178.17	90.50	32.42	180.67	37.92	33.00	198.92	38.08	28.75	181.79	220.92	70.73	156.67	217.17	250.31	185.58	125.25	196.67	126.92
HTU_24530.t1.1.5f2ccbb2	9.50	10	15	11.50	7.50	20	3.50	5	3.50	6.50	2.50	5	6093.00	8374.25	7333.50	5300.00	9470.00	7273	7144.50	7636	7413
HTU_24530.t1	9.50	9	14	8.50	6.50	20	2.50	5	4.50	6.50	2.50	5	6029.00	8233.25	7236.50	5230.00	9253.00	7043	7142.50	7611	7402
HTU_26331.t1	0	0	1	1	1	0	1	0	0	0	0	0	10	1	0	3	2	1	16	3	13
HTU_25598.t1	21	24.50	44.50	25	22.50	58	4	23.50	71.50	7	6	22	24.50	12.50	16	13.50	13	8.50	17.50	23	22.50
HTU_25598.t1.1.5f2ccbc0	21	27.50	44.50	26	23.50	59	4	27.50	75.50	7	6	22	22.50	12.50	15	13.50	13	6.50	17.50	21	21.50
HTU_24650.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU_25547.t1	4292.00	5197.50	5116.10	4968.00	5312.50	6358.00	6103.00	5942.17	4600.50	2809.00	6202.84	4595.75	2818	4835.50	3571	3284.50	3990.50	2324.67	2618.83	2760	2712
HTU_25837.t1	7795.33	8415.50	5033.00	8724.50	6932.00	6230.50	3051	4690.50	5364.50	2889.50	3308.50	3205	3629.17	6231	4752.50	4400.60	5616.33	3773.67	3094.83	3145.50	3430.50
HTU_24706.t1	570	622	344	592	476	505	88	213	302	75	57	78	162	281	202	655	529	388	193	204	164
HTU_24913.t1	0	0	0	1	0	1	0	1	0	0	0	0	5.50	4.50	4.50	4.50	5.50	7.50	3.50	3.33	2
