H_ery_ID	Orthogroup	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_18080	OG0013937	330	179	377	425	310	293	411	197	356	59	194	192	562	496	644	664	1554	966	910	679	491
HER_18081	OG0010878	6	11	4	89	55	36	320	59	62	30	174	101	5	27	10	5	1	5	17	9	13
HER_18084	OG0003266	315	351	620	2237	1458	1907	3718	2920	3708	1231	2108	3857	786	1423	772	377	752	452	926	663	262
HER_18085	OG0002267	41	21	29	57	75	51	38	37	41	22	24	59	30	57	14	63	76	14	42	45	64
HER_18086	OG0013938	1310	1116	1472	1670	1436	1139	2400	1173	1436	907	1971	1230	364	394	193	200	68	78	205	181	87
HER_18089	OG0013939	8	6	18	59	91	47	273	73	191	30	155	223	1384	864	817	188	340	476	411	338	194
HER_1809	OG0007251	80	84	33	130	99	67	151	128	72	118	134	114	29	113	85	24	15	7	54	32	19
HER_18090	OG0013940	576	1499	946	9977	9525	7614	15516	10554	11845	4859	9715	11586	3611	5568	2236	1322	1956	1245	1922	1430	911
HER_18091	OG0013941	53	103	99	286	261	251	540	500	357	132	226	396	53	120	63	50	39	28	56	74	22
HER_18093	NA	2	2	2	2	3	3	2	4	1	2	2	2	12	30	24	10	13	13	17	10	5
HER_18096	OG0015793	11	11	6	63	66	41	73	56	71	57	75	63	1671	647	1623	3264	2276	2524	3465	2642	6158
HER_18097	OG0010879	44	19	51	198	146	184	651	311	247	147	381	423	256	492	190	189	301	289	307	210	233
HER_18098	OG0007841	120	271	148	200	207	263	265	210	276	130	208	495	1358	1607	548	541	965	602	550	446	305
HER_18099	OG0005583	698	2036	1399	4646	3670	2794	7392	4790	4509	3011	5168	4700	2196	2200	2198	2114	2970	2553	4399	3814	1620
HER_181	OG0010309	6	17	7	87	31	50	89	116	132	116	87	170	26	67	37	18	24	24	39	30	5
HER_1810	OG0010184	42	104	49	292	203	251	936	539	446	338	815	478	166	328	412	332	198	278	358	301	180
HER_18100	NA	0	2	1	4	0	1	1	12	0	4	0	4	123	61	110	90	59	82	155	99	41
HER_18101	OG0010880	1	1	1	1	0	0	1	6	2	10	1	1	82	60	95	67	67	92	128	91	43
HER_18102	OG0003828	614	652	224	239	502	484	266	348	248	230	215	1202	534	896	531	440	521	596	976	693	370
HER_18103	OG0003829	4	1	2	1	4	4	8	2	11	2	11	9	326	219	238	922	748	1178	589	476	176
HER_18104	OG0007008	722	2018	1146	2825	4481	3218	6886	5409	5087	2523	4225	5015	494	1587	529	628	836	672	1168	847	516
HER_18105	OG0010881	65	168	163	274	221	127	261	278	310	102	126	269	543	443	374	146	303	241	371	324	148
HER_18106	OG0004122	407	1244	524	1470	1220	765	2328	1481	1914	624	1397	1806	848	775	379	560	930	650	709	493	1114
HER_18107	OG0010882	21	101	29	84	58	86	155	129	98	84	123	65	14	10	9	7	12	10	45	18	5
HER_18109	OG0011270	100	300	87	283	176	288	357	268	221	180	324	173	54	36	38	20	32	34	86	72	21
HER_1811	OG0007252	3300	4570	3151	3950	3439	2627	8611	5224	6954	1814	4352	5327	2346	3249	2038	589	1108	931	1731	1154	460
HER_18110	OG0011268	1397	1963	489	1162	1766	1383	2719	2663	2741	968	1363	1478	401	442	410	188	481	324	362	286	155
HER_18111	OG0010883	39	113	58	168	170	176	565	503	455	258	332	314	164	150	108	93	51	67	137	110	54
HER_18112	OG0007842	692	584	652	1184	1352	1280	2746	1252	2586	508	1548	1948	7142	6570	4762	1784	5987	3820	4112	3036	1528
HER_18113	OG0004123	300	455	709	2337	1498	1167	7336	2297	3626	701	1946	3910	2913	2455	2847	1359	2546	1873	6018	4256	2302
HER_18114	NA	419	693	1149	3322	2221	1848	6614	3267	4734	1601	4977	6224	3060	3301	2283	2291	2820	2151	4798	3020	3085
HER_18115	OG0010884	2	10	8	72	88	50	166	155	70	40	98	66	12	19	24	36	52	58	55	36	34
HER_18117	OG0013942	1214	2336	1493	6119	5172	4852	10446	8707	9546	5674	8362	7076	5808	6619	6399	3950	4202	3633	5061	4297	1870
HER_18118	OG0012852	0	0	0	0	0	0	0	2	0	2	0	0	1	1	0	0	2	4	0	0	0
HER_18119	OG0013943	126	79	83	225	332	339	891	833	1064	263	358	499	202	246	213	117	235	160	302	265	94
HER_1812	OG0015489	1267	1508	2124	1082	1583	1168	1752	1109	1734	358	856	1527	308	624	331	272	116	143	197	164	75
HER_18120	OG0013944	110	233	261	1080	1077	1099	2040	1561	2043	914	1397	1831	776	866	510	491	574	527	849	644	388
HER_18121	OG0010885	129	220	144	766	824	693	2119	1629	1651	1233	1733	1831	988	1311	512	496	495	417	650	484	163
HER_18122	OG0013945	49	167	67	304	219	261	643	476	392	256	378	438	169	182	121	27	47	39	109	88	24
HER_18124	OG0013946	127	327	222	1098	1266	810	1658	938	1001	345	1032	1344	153	413	176	181	215	221	290	218	103
HER_18125	OG0010886	1725	3112	2125	3482	2853	2362	7073	4378	5148	2444	4242	4942	2685	3100	2727	1083	2068	1592	2833	2123	788
HER_18126	OG0013947	90	66	107	181	167	79	337	171	168	79	226	399	1304	1164	1349	928	1535	1188	2551	1736	793
HER_18129	OG0013948	124	392	148	1228	1168	840	4072	1846	1952	1015	2312	1717	1123	1247	617	343	449	375	466	378	153
HER_1813	OG0001249	0	1	0	0	1	0	0	0	2	0	0	4	8	5	21	14	14	10	51	45	6
HER_18130	OG0013949	172	329	203	759	1009	912	2872	1258	1655	627	1889	1537	258	439	198	143	229	157	314	232	128
HER_18131	OG0011026	31	70	55	907	646	658	2054	1375	1550	570	1095	1085	301	710	433	384	674	533	804	540	291
HER_18132	OG0007905	79	75	82	430	393	400	948	590	601	150	444	533	98	201	164	154	319	185	310	257	139
HER_18133	NA	0	0	1	0	0	1	1	1	1	2	1	0	6	7	6	17	29	13	8	8	12
HER_18134	NA	0	0	0	0	0	0	0	0	0	0	0	1	6	4	0	12	10	3	10	5	4
HER_18135	NA	6	10	2	25	33	29	78	52	45	16	37	38	17	28	21	9	27	16	28	32	9
HER_18139	OG0011027	335	823	407	1003	1054	1118	1990	1309	1635	533	1196	1203	309	508	297	198	227	215	418	288	105
HER_1814	OG0015537	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	5	3	4	16	20	4
HER_18140	OG0007906	293	642	403	555	667	627	720	616	942	267	419	717	495	649	588	217	612	418	453	397	212
HER_18141	OG0014156	48	73	62	226	165	221	469	241	310	123	293	184	137	135	152	77	126	92	152	127	76
HER_18142	OG0014157	56	127	67	640	428	457	698	376	390	468	801	512	1194	995	1552	1594	1413	1273	2186	1766	892
HER_18143	NA	353	206	154	312	488	859	439	156	442	54	214	759	453	653	378	410	570	508	479	393	235
HER_18144	OG0005630	119	332	258	700	616	532	1804	1471	1154	1010	981	1089	2182	2026	1426	609	1390	1030	1915	1912	446
HER_18145	OG0002275	19	33	30	333	314	190	608	296	488	78	230	312	191	163	151	63	106	100	136	104	60
HER_18146	OG0015855	114	279	140	617	292	336	693	711	520	376	420	154	314	297	375	221	289	227	363	298	163
HER_18147	OG0002275	53	117	114	1186	1078	659	2050	1226	1620	496	1187	1220	584	602	444	336	430	336	483	372	202
HER_18148	OG0005631	61	46	40	95	134	126	389	192	136	92	228	214	50	119	103	70	55	52	217	157	85
HER_18150	NA	1	6	5	11	12	5	31	17	10	4	16	9	14	19	20	6	10	6	21	15	11
HER_18151	OG0011028	4551	1322	3911	1113	1914	1064	2785	1387	2329	540	1384	1748	247	501	237	165	200	147	237	228	122
HER_18152	OG0011029	0	0	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
HER_18154	OG0007907	11	38	12	23	32	27	152	131	66	103	143	34	109	58	74	50	57	77	60	25	28
HER_18156	OG0011030	64	80	37	731	540	488	597	719	800	260	295	644	77	203	78	67	67	88	111	102	87
HER_18157	OG0004280	0	0	0	0	0	1	0	0	0	0	0	0	9	4	5	3	2	3	3	3	1
HER_18158	NA	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	1	2	1	1	1	0
HER_18159	OG0015856	61	236	144	501	509	453	1089	664	681	320	600	538	540	509	461	151	359	267	412	333	126
HER_18160	OG0015857	14	9	14	22	32	6	38	31	14	10	30	27	127	99	102	100	127	109	152	142	87
HER_18161	OG0014158	39	46	60	362	205	168	415	393	324	180	323	499	560	776	608	833	1002	345	1037	733	510
HER_18162	OG0014159	12	35	27	138	197	181	793	542	473	505	732	326	135	218	151	149	151	125	189	151	109
HER_18164	OG0014160	139	174	144	409	412	305	742	623	697	337	534	652	490	573	293	294	411	284	1152	712	486
