L_var_ID	LV16cellA	LV16cellB	LV16cellC	LV32cellA	LV32cellB	LV32cellC	LV4cellA	LV4cellB	LV4cellC	LVEGGA	LVEGGB	LVEGGC	LVGA	LVGB	LVGC	LVMBA	LVMBB	LVMBC	LVPRA	LVPRB	LVPRC
LVA_3657.t1	114	155	65.50	41	56.50	21	58.50	58	50.50	20.50	17.50	25.50	69	28	34	31	34	28.50	50	33	35.50
LVA_3724.t1	1	0	0	1	1	0	0	1	0	0	0	0	56.50	37	31	39.50	18	28	70	54	66.50
LVA_4139.t1	2016	1959	1719	2682.00	2597	4904	1361	1703	824	300.50	262	1347	4289	2380	2725	1437	1565	1757	3387.00	2402	2191
LVA_3095.t1	0	0	0	0	0	0	0	0	0	0	0	0	19	12	7	5	41	4	1	0	1
LVA_4569.t1	4639	4885	4889.50	3903.50	7732	3877.83	6050	4379.50	2348.50	575.00	310	1300	189.50	111.50	274.00	298	470	334.50	379.50	321.50	235
LVA_3913.t1	543	744	321	276	858	556	788.58	940.83	815.87	517	533	538	1041.50	563.33	722	1499.50	1856	2448.50	698.33	600.33	678.14
LVA_4693.t1	172	187	198	144	235	207	114	140	169	62	57	69	211	49	81	80	221	255	173	198.00	104
LVA_4062.t1_LVA_4063.t1	219.50	311	213	93	296	454	82	239	269	135	87	65	445	276	257	271	193	263	298	210	265
LVA_4823.t1	970	1303.50	855	495	1183	943	705	461	643	296	246	291	1801	966	1077	487	232	503	1174	831	821
LVA_4743.t1	81	112	86	32	150	221.20	113.20	112	164.20	21	20.20	33	586.20	355.20	301.70	273.20	279.00	362.20	430.00	284.00	350.20
LVA_4407.t1	705.00	678.00	401	994.00	1043.00	1371	456.00	347.00	440.00	181	205	434.00	5053.00	3242	2683.00	2685.00	2429.00	3625.00	1949.00	1640	1390
LVA_4646.t1	1630	2342	510	1157	740	787	1386	1122	1167	1044	1006	655	1400	784	1069	814	1213	1083	1211.00	721	745
LVA_4430.t1	644.50	874.50	653.50	391.50	651.50	820.50	717.50	922.50	962.50	334.00	494.50	205.50	1508.50	867.00	1223.50	807.50	1112.00	1091	1324.50	857.50	846.50
LVA_4430.t1.1.5f2bf616	644.50	874.50	653.50	391.50	651.50	820.50	717.50	922.50	962.50	334.00	494.50	205.50	1505.50	862.00	1222.50	806.50	1111.00	1091	1305.50	844.50	829.50
LVA_4681.t1	18	20	23	2	24	8	3	14	51	6	22	10	69	52	43	29	17	256	70.00	39	44
LVA_4764.t1	609	808	414	328	792	621	206	192	130	82	40	137	1022	657	724	330	375	283	571.50	470	734
LVA_3962.t1	149.50	209	193	117	95	128	112	91	93	60	31	46	181	93	96	45	51	53	176	105	76
LVA_3187.t1	37	40	13	41	30	13	12	9	22	5	5	3	212	274	285	139	106	285	324	197	304
LVA_4496.t1	579	766	398	322	914	741	448	478	602	287	500	227	246	176	177	133	207	50	301	166	303
LVA_3433.t1	922	1304	472	765	1699	1422	822	973.00	338	635	140	663	2022	1138	1709.00	620	1064.50	679	1936	1362	1158
LVA_4199.t1	95	130	43	81	166	34	35	5	112	13	29	12	639	403	427	329	557	611	373	310	258
LVA_3170.t1	544	382.00	392	757	354.00	841.50	1163	315	848.33	229.50	49	176	680	306.00	728.50	304.50	192	294.00	934.75	648	584.50
LVA_3840.t1	1794.50	2018.50	1385	740	1470	1649	272	280	487	142	165	157	1766	1194	1062	1158	920	985	1135	878	814
LVA_4335.t1	15	24	70.33	390.67	342.33	658.67	0	9.33	635.67	210.67	568.67	31.00	0	1	0	0	0	0	3	0	5.33
LVA_3482.t1	4	6	6	13	44	24	59	3	8	1	2	88	3	2	5	6	12	6	37	53	44
LVA_3164.t1	1359.50	1606.50	1482.00	1487.00	1141	1338.50	1373.50	1332	2368.50	102	469	470.50	2901.00	1864.00	2162.50	2840.50	5000.00	3869.50	1032	1691.00	984.00
LVA_3164.t1.1.5f2d44ac	670.50	797.50	743.17	827.50	541	690.50	747	721	1245	59	273	264.50	1782.92	1181.60	1368.58	1868.17	3116.48	2552.45	670.33	1133.93	638.53
LVA_4398.t1	321.00	386	299	343	556	601.00	385	316	536.00	94	99	120	838	466	592	574	564	992.00	666.00	394	401
LVA_4648.t1	0	0	0	0	0	0	0	7	0	0	1	0	0	4	5	1	0	3	2	0	7
LVA_4109.t1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
LVA_3741.t1	0	0.12	0.10	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.11	0.29	0.10	0
LVA_3153.t1.1.5f2bf5ce	10	16.67	14.50	6.50	25.50	14.50	14.12	4.50	10.50	5.12	1.50	5.12	20.23	5	2.50	0.50	30.50	1.50	27.50	20	20.62
