H_ery_ID	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_11604	90	232	94	1054	869	460	3131	1586	2533	708	1638	1736	620	956	564	378	701	500	1160	949	312
HER_11605	144	292	279	281	269	230	584	248	329	114	336	274	518	498	481	478	643	543	1137	826	394
HER_11607	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HER_11608	1	0	0	0	0	0	4	1	0	0	2	1	0	4	1	0	1	1	0	0	0
HER_1161	196	374	234	468	451	260	1174	743	763	315	595	586	232	393	252	86	65	76	112	84	33
HER_11611	0	2	0	0	0	0	2	1	0	2	0	0	1	0	1	1	2	0	0	1	0
HER_11612	28	22	44	667	492	710	646	658	644	301	460	961	534	654	394	369	532	416	520	404	200
HER_11613	0	0	0	0	0	0	0	0	0	0	0	1	7	5	4	1	7	6	3	2	2
HER_11614	657	266	811	4419	2003	2621	5239	2902	3391	1117	3200	4805	18792	17964	32301	36536	55014	42939	71234	51061	35751
HER_11615	1	1	0	5	4	3	4	3	13	2	6	6	0	0	0	8	12	11	24	24	0
HER_11616	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
HER_11617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HER_11618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_11619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_11620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HER_11622	3	1	4	3	4	0	4	3	0	1	5	3	1	1	3	21	20	21	22	12	8
HER_11623	0	0	0	1	2	0	4	5	3	1	4	1	0	0	2	0	2	0	1	3	0
HER_11625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
HER_11626	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	4	2	6
HER_11628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_11629	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
HER_1163	0	0	0	0	0	0	0	0	1	0	0	0	8	32	12	3	2	2	2	1	1
HER_11632	160	263	195	434	377	290	726	574	647	527	661	683	91	299	102	72	80	44	98	82	42
HER_11633	3	0	3	20	7	7	14	3	17	4	10	29	127	52	65	199	92	158	169	113	140
HER_11634	0	0	0	0	0	1	5	0	2	0	0	1	1	1	4	3	1	0	2	2	1
HER_11637	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
