"gene_1","gene_2","species","coex","hpf"
"hex","sm37","Lv",0.536672629695885,24
"hex","sm37","Lv",0.493691716950082,6
"hex","sm37","Lv",1.09157064887811,9
"hex","sm50","Lv",74,12
"hex","sm50","Lv",0.0182815356489945,16
"hex","sm50","Lv",0.82018927444795,20
"hex","sm50","Lv",2.63361735089078,24
"hex","sm50","Lv",0.447227191413238,6
"hex","sm50","Lv",0.274273176083379,9
"hex","sm50","Lv",0.242571255306246,12
"hex","kirrelL","Lv",75,16
"hex","kirrelL","Lv",0,20
"hex","kirrelL","Lv",0,24
"hex","kirrelL","Lv",0.568035114898012,6
"hex","kirrelL","Lv",0,9
"hex","kirrelL","Lv",0.0548546352166758,12
"hex","kirrelL","Lv",0.181928441479685,16
"foxB","hex","Lv",76,20
"foxB","hex","Lv",0.164533820840951,24
"foxB","hex","Lv",0.0630914826498422,6
"foxB","hex","Lv",3.25329202168861,9
"foxB","hex","Lv",0.268336314847943,12
"foxB","hex","Lv",0.0548546352166758,16
"foxB","hex","Lv",0.0606428138265615,20
"dri","hex","Lv",77,24
"dri","hex","Lv",2.81535648994516,6
"dri","hex","Lv",5.19453207150368,9
"dri","hex","Lv",1.72992512264395,12
"dri","hex","Lv",0.805008944543828,16
"dri","hex","Lv",1.20680197476687,20
"dri","hex","Lv",2.42571255306246,24
"fgf","irf4","Lv",78,6
"fgf","irf4","Lv",0.0548446069469835,9
"fgf","irf4","Lv",0.0630914826498422,12
"fgf","irf4","Lv",0.0516395558998192,16
"fgf","irf4","Lv",0,20
"fgf","irf4","Lv",0.383982446516731,24
"fgf","irf4","Lv",0.485142510612492,6
"irf4","vegfr","Lv",79,9
"irf4","vegfr","Lv",0,12
"irf4","vegfr","Lv",0.0841219768664563,16
"irf4","vegfr","Lv",0.103279111799639,20
"irf4","vegfr","Lv",0.268336314847943,24
"irf4","vegfr","Lv",0.493691716950082,6
"irf4","vegfr","Lv",0.121285627653123,9
"irf4","pks2","Lv",80,12
"irf4","pks2","Lv",0,16
"irf4","pks2","Lv",0.0420609884332281,20
"irf4","pks2","Lv",0.0258197779499096,24
"irf4","pks2","Lv",0,6
"irf4","pks2","Lv",0,9
"irf4","pks2","Lv",0,12
"irf4","tbr","Lv",81,16
"irf4","tbr","Lv",0.0548446069469835,20
"irf4","tbr","Lv",0.126182965299685,24
"irf4","tbr","Lv",0.335657113348825,6
"irf4","tbr","Lv",0.536672629695885,9
"irf4","tbr","Lv",0.274273176083379,12
"irf4","tbr","Lv",0,16
"irf4","wnt1","Lv",82,20
"irf4","wnt1","Lv",0.073126142595978,24
"irf4","wnt1","Lv",0.0630914826498422,6
"irf4","wnt1","Lv",0,9
"irf4","wnt1","Lv",0,12
"irf4","wnt1","Lv",0,16
"irf4","wnt1","Lv",0.121285627653123,20
"ets1","irf4","Lv",83,24
"ets1","irf4","Lv",0.036563071297989,6
"ets1","irf4","Lv",0.10515247108307,9
"ets1","irf4","Lv",0.309837335398916,12
"ets1","irf4","Lv",1.34168157423971,16
"ets1","irf4","Lv",0.877674163466813,20
"ets1","irf4","Lv",0.363856882959369,24
"erg","irf4","Lv",84,6
"erg","irf4","Lv",0,9
"erg","irf4","Lv",0,12
"erg","irf4","Lv",0,16
