"species","type","G1","G2","value"
"HE","coEXP","Alx1","Alx1","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER12794t125f2c6949SpAlx1.png"
"HE","coEXP","Alx1","p58b","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER21268t1Spp58b.png"
"HE","coEXP","Alx1","Tbr","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER21600t1SpTbr.png"
"HE","coEXP","Alx1","Sm29","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER26231t1SpSm29.png"
"HE","coEXP","Alx1","Sm37","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER26255t1SpSm37.png"
"HE","coEXP","Alx1","Sm50","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER26257t1SpSm50.png"
"HE","coEXP","Alx1","Lim1","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER2641t1SpLim1.png"
"HE","coEXP","Alx1","Msp1301","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER28403t1SpMsp1301.png"
"HE","coEXP","Alx1","FoxO1","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER35682t1SpFoxO1.png"
"HE","coEXP","Alx1","Tgif","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER4286t1SpTgif.png"
"HE","coEXP","Alx1","Ets12","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER43627t1SpEts12.png"
"HE","coEXP","Alx1","Erg","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER43628t2SpErg.png"
"HE","coEXP","Alx1","Vegfr10","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Alx1","Dr1","UMAPS/plot_HER12794t125f2c6949SpAlx1_and_HER9959t1SpDr1.png"
"HE","coEXP","p58b","Lim1","UMAPS/plot_HER21268t1Spp58b_and_HER2641t1SpLim1.png"
"HE","coEXP","p58b","Vegfr10","UMAPS/plot_HER21268t1Spp58b_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Tbr","FoxB","UMAPS/plot_HER21600t1SpTbr_and_HER11066t1SpFoxB.png"
"HE","coEXP","Tbr","p58b","UMAPS/plot_HER21600t1SpTbr_and_HER21268t1Spp58b.png"
"HE","coEXP","Tbr","Sm29","UMAPS/plot_HER21600t1SpTbr_and_HER26231t1SpSm29.png"
"HE","coEXP","Tbr","Sm37","UMAPS/plot_HER21600t1SpTbr_and_HER26255t1SpSm37.png"
"HE","coEXP","Tbr","Sm50","UMAPS/plot_HER21600t1SpTbr_and_HER26257t1SpSm50.png"
"HE","coEXP","Tbr","Lim1","UMAPS/plot_HER21600t1SpTbr_and_HER2641t1SpLim1.png"
"HE","coEXP","Tbr","Msp1301","UMAPS/plot_HER21600t1SpTbr_and_HER28403t1SpMsp1301.png"
"HE","coEXP","Tbr","FoxO1","UMAPS/plot_HER21600t1SpTbr_and_HER35682t1SpFoxO1.png"
"HE","coEXP","Tbr","Tgif","UMAPS/plot_HER21600t1SpTbr_and_HER4286t1SpTgif.png"
"HE","coEXP","Tbr","Erg","UMAPS/plot_HER21600t1SpTbr_and_HER43628t2SpErg.png"
"HE","coEXP","Tbr","Vegfr10","UMAPS/plot_HER21600t1SpTbr_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Tbr","Dr1","UMAPS/plot_HER21600t1SpTbr_and_HER9959t1SpDr1.png"
"HE","coEXP","Sm29","p58b","UMAPS/plot_HER26231t1SpSm29_and_HER21268t1Spp58b.png"
"HE","coEXP","Sm29","Sm37","UMAPS/plot_HER26231t1SpSm29_and_HER26255t1SpSm37.png"
"HE","coEXP","Sm29","Sm50","UMAPS/plot_HER26231t1SpSm29_and_HER26257t1SpSm50.png"
"HE","coEXP","Sm29","Lim1","UMAPS/plot_HER26231t1SpSm29_and_HER2641t1SpLim1.png"
"HE","coEXP","Sm29","Msp1301","UMAPS/plot_HER26231t1SpSm29_and_HER28403t1SpMsp1301.png"
"HE","coEXP","Sm29","Vegfr10","UMAPS/plot_HER26231t1SpSm29_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Sm37","p58b","UMAPS/plot_HER26255t1SpSm37_and_HER21268t1Spp58b.png"
"HE","coEXP","Sm37","Sm50","UMAPS/plot_HER26255t1SpSm37_and_HER26257t1SpSm50.png"
"HE","coEXP","Sm37","Lim1","UMAPS/plot_HER26255t1SpSm37_and_HER2641t1SpLim1.png"
"HE","coEXP","Sm37","Vegfr10","UMAPS/plot_HER26255t1SpSm37_and_HER48314t1SpVegfr10.png"
"HE","coEXP","Sm50","p58b","UMAPS/plot_HER26257t1SpSm50_and_HER21268t1Spp58b.png"
"HE","coEXP","Sm50","Lim1","UMAPS/plot_HER26257t1SpSm50_and_HER2641t1SpLim1.png"
"HE","coEXP","Sm50","Msp1301","UMAPS/plot_HER26257t1SpSm50_and_HER28403t1SpMsp1301.png"
